,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
1900,23743,NonResidential,Mixed Use Property,Magnolia / queen anne,1931,1.0,1,24196,0,24196,Other,8711.0,Warehouse,6792.0,Office,5306.0,,109.0,1055033.0,0.0,731279.0,323754.0,Compliant,Not outlier,22.29,0.92,4,85,13.86908260402396
1901,23744,NonResidential,Office,Magnolia / queen anne,1940,1.0,2,20671,0,20671,Office,20671.0,Without,0.0,Without,0.0,98.0,52.5,638507.125,0.0,198321.0,440186.0,Compliant,Not outlier,24.76,1.2,1,76,13.366888113358797
1903,23757,NonResidential,Warehouse,Greater duwamish,1927,1.0,1,21600,0,21600,Warehouse,21600.0,Without,0.0,Without,0.0,57.0,49.90000153,499828.5938,0.0,264154.0,235675.0,Compliant,Not outlier,14.36,0.66,1,89,13.122020506230726
1907,23762,NonResidential,Worship Facility,Southwest,1977,1.0,1,35844,0,35844,Worship Facility,35844.0,Without,0.0,Without,0.0,14.0,75.90000153,866126.375,0.0,866126.0,0.0,Compliant,Not outlier,6.04,0.17,1,39,13.671786106459091
1922,23834,NonResidential,Warehouse,Greater duwamish,1953,1.0,1,26094,0,26094,Warehouse,26094.0,Without,0.0,Without,0.0,19.0,85.40000153,709990.8125,0.0,709991.0,0.0,Compliant,Not outlier,4.95,0.19,1,63,13.473007308792928
1923,23835,NonResidential,Office,Greater duwamish,1983,1.0,2,23687,0,23687,Office,23687.0,Without,0.0,Without,0.0,68.0,143.8000031,1084553.75,0.0,1084554.0,0.0,Compliant,Not outlier,7.56,0.32,1,33,13.896679170031053
1924,23836,NonResidential,Office,Greater duwamish,1983,1.0,2,24221,0,24221,Office,24221.0,Without,0.0,Without,0.0,20.0,186.1000061,1435562.75,0.0,1435563.0,0.0,Compliant,Not outlier,10.01,0.41,1,33,14.17706749057986
1925,23857,NonResidential,Mixed Use Property,Downtown,1900,1.0,2,71919,14083,57836,Office,34550.0,Retail Store,23085.0,Parking,11465.0,37.0,293.2000122,5381105.0,0.0,5381104.0,0.0,Compliant,Not outlier,37.51,0.52,3,116,15.498404301382832
1926,23858,NonResidential,Office,Downtown,1900,1.0,2,32027,0,32027,Office,17526.0,Retail Store,14501.0,Without,0.0,54.0,249.8999939,3999505.25,0.0,1820615.0,2178890.0,Compliant,Not outlier,128.41,4.01,2,116,15.201681223934235
1928,23863,NonResidential,Other,Greater duwamish,1992,1.0,3,47836,7572,40264,Residence Hall,43336.0,Parking,4500.0,Without,0.0,,167.8000031,3540225.75,0.0,1699980.0,1840246.0,Compliant,Not outlier,109.59,2.29,2,24,15.079701054263102
1931,23877,SPS-District K-12,Education,Greater duwamish,1971,1.0,2,52609,0,52609,Education,52609.0,Without,0.0,Without,0.0,67.0,78.30000305,1801941.75,0.0,1066165.0,735777.0,Error - Correct Default Data,Not outlier,46.51,0.88,1,45,14.404375391433721
1934,23888,NonResidential,Medical Office,Southwest,1984,1.0,3,40304,12000,28304,Hospital/Residential Care Facility,20106.0,Parking,16412.0,Without,0.0,5.0,306.2999878,1961581.5,0.0,1961581.0,0.0,Compliant,Not outlier,13.67,0.34,2,32,14.489261593602885
1939,23896,NonResidential,Distribution Center,Greater duwamish,1990,1.0,1,29619,0,29619,Distribution Center,15000.0,Office,14619.0,Without,0.0,50.0,84.5,1280263.75,0.0,553737.0,726527.0,Compliant,Not outlier,42.45,1.43,2,26,14.062576669356948
1941,23906,NonResidential,Education,Central,1922,1.0,2,21592,0,21592,Education,20700.0,Without,0.0,Without,0.0,47.0,120.3000031,1431784.0,0.0,472592.0,959192.0,Compliant,Not outlier,54.24,2.51,1,94,14.174431777136707
